Unnamed: 0	wavelength	counts
0	232.734922	156.0
1	233.114346	133.0
2	233.493737	122.0
3	233.873095	117.0
4	234.252421	121.0
5	234.631715	126.0
6	235.010976	125.0
7	235.390204	121.0
8	235.7694	130.0
9	236.148564	124.0
10	236.527695	132.0
11	236.906793	125.0
12	237.285859	127.0
13	237.664892	124.0
14	238.043893	126.0
15	238.422861	122.0
16	238.801796	122.0
17	239.180699	121.0
18	239.559569	124.0
19	239.938407	126.0
20	240.317212	127.0
21	240.695984	130.0
22	241.074724	134.0
23	241.453431	129.0
24	241.832105	123.0
25	242.210747	125.0
26	242.589356	131.0
27	242.967932	132.0
28	243.346476	131.0
29	243.724986	138.0
30	244.103465	135.0
31	244.48191	172.0
32	244.860323	138.0
33	245.238702	134.0
34	245.61705	135.0
35	245.995364	131.0
36	246.373645	132.0
37	246.751894	129.0
38	247.13011	128.0
39	247.508293	136.0
40	247.886444	132.0
41	248.264561	147.0
42	248.642646	132.0
43	249.020698	134.0
44	249.398717	128.0
45	249.776703	136.0
46	250.154656	195.0
47	250.532576	132.0
48	250.910464	126.0
49	251.288318	156.0
50	251.66614	145.0
51	252.043929	141.0
52	252.421684	130.0
53	252.799407	183.0
54	253.177097	141.0
55	253.554754	130.0
56	253.932378	130.0
57	254.309969	135.0
58	254.687527	146.0
59	255.065052	148.0
60	255.442544	127.0
61	255.820003	136.0
62	256.197429	169.0
63	256.574822	130.0
64	256.952182	123.0
65	257.329509	132.0
66	257.706803	129.0
67	258.084063	134.0
68	258.461291	128.0
69	258.838486	131.0
70	259.215647	134.0
71	259.592775	125.0
72	259.969871	128.0
73	260.346933	129.0
74	260.723962	140.0
75	261.100958	130.0
76	261.47792	159.0
77	261.85485	136.0
78	262.231746	128.0
79	262.60861	130.0
80	262.98544	132.0
81	263.362236	129.0
82	263.739	128.0
83	264.115731	127.0
84	264.492428	123.0
85	264.869092	129.0
86	265.245722	126.0
87	265.62232	125.0
88	265.998884	189.0
89	266.375415	134.0
90	266.751913	135.0
91	267.128377	131.0
92	267.504808	134.0
93	267.881206	133.0
94	268.25757	129.0
95	268.633901	198.0
96	269.010199	133.0
97	269.386464	128.0
98	269.762695	127.0
99	270.138892	128.0
100	270.515057	131.0
101	270.891188	129.0
102	271.267285	128.0
103	271.64335	130.0
104	272.01938	135.0
105	272.395378	125.0
106	272.771342	126.0
107	273.147272	135.0
108	273.523169	124.0
109	273.899033	133.0
110	274.274863	132.0
111	274.65066	137.0
112	275.026423	129.0
113	275.402153	134.0
114	275.777849	128.0
115	276.153512	129.0
116	276.529141	131.0
117	276.904737	132.0
118	277.280299	131.0
119	277.655827	127.0
120	278.031322	152.0
121	278.406784	129.0
122	278.782212	133.0
123	279.157606	152.0
124	279.532967	137.0
125	279.908294	134.0
126	280.283587	129.0
127	280.658847	129.0
128	281.034074	129.0
129	281.409266	130.0
130	281.784425	125.0
131	282.15955	168.0
132	282.534642	168.0
133	282.9097	134.0
134	283.284724	128.0
135	283.659715	128.0
136	284.034672	136.0
137	284.409595	134.0
138	284.784485	133.0
139	285.15934	137.0
140	285.534162	132.0
141	285.908951	135.0
142	286.283705	128.0
143	286.658426	129.0
144	287.033113	136.0
145	287.407766	142.0
146	287.782386	128.0
147	288.156971	131.0
148	288.531523	128.0
149	288.906041	130.0
150	289.280525	127.0
151	289.654975	125.0
152	290.029392	128.0
153	290.403775	129.0
154	290.778123	128.0
155	291.152438	131.0
156	291.526719	125.0
157	291.900966	127.0
158	292.275179	127.0
159	292.649359	131.0
160	293.023504	131.0
161	293.397615	135.0
162	293.771693	132.0
163	294.145736	129.0
164	294.519746	137.0
165	294.893722	131.0
166	295.267663	138.0
167	295.641571	140.0
168	296.015444	130.0
169	296.389284	132.0
170	296.76309	132.0
171	297.136861	133.0
172	297.510599	127.0
173	297.884302	130.0
174	298.257972	127.0
175	298.631607	129.0
176	299.005209	130.0
177	299.378776	128.0
178	299.752309	130.0
179	300.125808	127.0
180	300.499273	162.0
181	300.872704	131.0
182	301.246101	129.0
183	301.619463	130.0
184	301.992792	139.0
185	302.366086	132.0
186	302.739346	131.0
187	303.112572	129.0
188	303.485764	170.0
189	303.858922	132.0
190	304.232045	128.0
191	304.605135	133.0
192	304.97819	128.0
193	305.35121	129.0
194	305.724197	125.0
195	306.097149	127.0
196	306.470067	130.0
197	306.842951	126.0
198	307.215801	128.0
199	307.588616	132.0
200	307.961397	130.0
201	308.334144	131.0
202	308.706856	134.0
203	309.079534	132.0
204	309.452178	137.0
205	309.824787	139.0
206	310.197362	131.0
207	310.569903	131.0
208	310.942409	132.0
209	311.314881	132.0
210	311.687319	134.0
211	312.059722	132.0
212	312.432091	130.0
213	312.804425	130.0
214	313.176725	136.0
215	313.54899	143.0
216	313.921222	133.0
217	314.293418	131.0
218	314.66558	130.0
219	315.037708	126.0
220	315.409801	136.0
221	315.78186	130.0
222	316.153884	129.0
223	316.525874	128.0
224	316.89783	132.0
225	317.26975	130.0
226	317.641637	137.0
227	318.013488	131.0
228	318.385305	126.0
