	wavelength	counts
0	232.734922	143.0
1	233.114346	130.0
2	233.493737	121.0
3	233.873095	117.0
4	234.252421	123.0
5	234.631715	121.0
6	235.010976	121.0
7	235.390204	123.0
8	235.7694	134.0
9	236.148564	125.0
10	236.527695	134.0
11	236.906793	127.0
12	237.285859	121.0
13	237.664892	123.0
14	238.043893	128.0
15	238.422861	119.0
16	238.801796	125.0
17	239.180699	124.0
18	239.559569	125.0
19	239.938407	121.0
20	240.317212	126.0
21	240.695984	125.0
22	241.074724	130.0
23	241.453431	128.0
24	241.832105	127.0
25	242.210747	130.0
26	242.589356	128.0
27	242.967932	127.0
28	243.346476	127.0
29	243.724986	134.0
30	244.103465	134.0
31	244.48191	160.0
32	244.860323	132.0
33	245.238702	134.0
34	245.61705	130.0
35	245.995364	124.0
36	246.373645	127.0
37	246.751894	124.0
38	247.13011	126.0
39	247.508293	130.0
40	247.886444	128.0
41	248.264561	138.0
42	248.642646	130.0
43	249.020698	130.0
44	249.398717	128.0
45	249.776703	135.0
46	250.154656	177.0
47	250.532576	130.0
48	250.910464	129.0
49	251.288318	151.0
50	251.66614	141.0
51	252.043929	133.0
52	252.421684	129.0
53	252.799407	172.0
54	253.177097	136.0
55	253.554754	126.0
56	253.932378	125.0
57	254.309969	128.0
58	254.687527	139.0
59	255.065052	147.0
60	255.442544	129.0
61	255.820003	130.0
62	256.197429	154.0
63	256.574822	129.0
64	256.952182	129.0
65	257.329509	129.0
66	257.706803	126.0
67	258.084063	134.0
68	258.461291	128.0
69	258.838486	134.0
70	259.215647	130.0
71	259.592775	129.0
72	259.969871	125.0
73	260.346933	124.0
74	260.723962	129.0
75	261.100958	129.0
76	261.47792	146.0
77	261.85485	140.0
78	262.231746	128.0
79	262.60861	132.0
80	262.98544	127.0
81	263.362236	127.0
82	263.739	126.0
83	264.115731	128.0
84	264.492428	125.0
85	264.869092	130.0
86	265.245722	132.0
87	265.62232	124.0
88	265.998884	182.0
89	266.375415	141.0
90	266.751913	131.0
91	267.128377	126.0
92	267.504808	130.0
93	267.881206	128.0
94	268.25757	128.0
95	268.633901	187.0
96	269.010199	132.0
97	269.386464	128.0
98	269.762695	130.0
99	270.138892	137.0
100	270.515057	131.0
101	270.891188	127.0
102	271.267285	123.0
103	271.64335	128.0
104	272.01938	131.0
105	272.395378	125.0
106	272.771342	126.0
107	273.147272	132.0
108	273.523169	130.0
109	273.899033	130.0
110	274.274863	129.0
111	274.65066	128.0
112	275.026423	127.0
113	275.402153	128.0
114	275.777849	131.0
115	276.153512	124.0
116	276.529141	128.0
117	276.904737	130.0
118	277.280299	126.0
119	277.655827	131.0
120	278.031322	148.0
121	278.406784	128.0
122	278.782212	130.0
123	279.157606	143.0
124	279.532967	131.0
125	279.908294	127.0
126	280.283587	131.0
127	280.658847	128.0
128	281.034074	126.0
129	281.409266	124.0
130	281.784425	131.0
131	282.15955	167.0
132	282.534642	160.0
133	282.9097	130.0
134	283.284724	124.0
135	283.659715	129.0
136	284.034672	131.0
137	284.409595	132.0
138	284.784485	127.0
139	285.15934	131.0
140	285.534162	123.0
141	285.908951	133.0
142	286.283705	129.0
143	286.658426	129.0
144	287.033113	131.0
145	287.407766	135.0
146	287.782386	128.0
147	288.156971	133.0
148	288.531523	132.0
149	288.906041	127.0
150	289.280525	128.0
151	289.654975	128.0
152	290.029392	128.0
153	290.403775	129.0
154	290.778123	126.0
155	291.152438	127.0
156	291.526719	127.0
157	291.900966	124.0
158	292.275179	127.0
159	292.649359	132.0
