Unnamed: 0	wavelength	counts
0	232.734922	150.0
1	233.114346	129.0
2	233.493737	122.0
3	233.873095	123.0
4	234.252421	121.0
5	234.631715	120.0
6	235.010976	120.0
7	235.390204	122.0
8	235.7694	125.0
9	236.148564	122.0
10	236.527695	133.0
11	236.906793	124.0
12	237.285859	121.0
13	237.664892	122.0
14	238.043893	129.0
15	238.422861	123.0
16	238.801796	123.0
17	239.180699	121.0
18	239.559569	128.0
19	239.938407	124.0
20	240.317212	122.0
21	240.695984	126.0
22	241.074724	136.0
23	241.453431	130.0
24	241.832105	130.0
25	242.210747	126.0
26	242.589356	129.0
27	242.967932	129.0
28	243.346476	127.0
29	243.724986	132.0
30	244.103465	132.0
31	244.48191	154.0
32	244.860323	130.0
33	245.238702	133.0
34	245.61705	130.0
35	245.995364	131.0
36	246.373645	130.0
37	246.751894	126.0
38	247.13011	126.0
39	247.508293	128.0
40	247.886444	129.0
41	248.264561	144.0
42	248.642646	131.0
43	249.020698	132.0
44	249.398717	129.0
45	249.776703	133.0
46	250.154656	180.0
47	250.532576	133.0
48	250.910464	128.0
49	251.288318	149.0
50	251.66614	138.0
51	252.043929	133.0
52	252.421684	126.0
53	252.799407	170.0
54	253.177097	133.0
55	253.554754	129.0
56	253.932378	129.0
57	254.309969	129.0
58	254.687527	140.0
59	255.065052	148.0
60	255.442544	134.0
61	255.820003	134.0
62	256.197429	162.0
63	256.574822	133.0
64	256.952182	127.0
65	257.329509	130.0
66	257.706803	122.0
67	258.084063	130.0
68	258.461291	130.0
69	258.838486	132.0
70	259.215647	127.0
71	259.592775	128.0
72	259.969871	129.0
73	260.346933	123.0
74	260.723962	129.0
75	261.100958	133.0
76	261.47792	150.0
77	261.85485	133.0
78	262.231746	126.0
79	262.60861	127.0
80	262.98544	129.0
81	263.362236	123.0
82	263.739	124.0
83	264.115731	128.0
84	264.492428	126.0
85	264.869092	131.0
86	265.245722	130.0
87	265.62232	126.0
88	265.998884	176.0
89	266.375415	130.0
90	266.751913	127.0
91	267.128377	126.0
92	267.504808	132.0
93	267.881206	126.0
94	268.25757	129.0
95	268.633901	180.0
96	269.010199	129.0
97	269.386464	128.0
98	269.762695	129.0
99	270.138892	135.0
100	270.515057	129.0
101	270.891188	127.0
102	271.267285	127.0
103	271.64335	127.0
104	272.01938	134.0
105	272.395378	133.0
106	272.771342	128.0
107	273.147272	129.0
108	273.523169	126.0
